symbol,version
SampSetErrorInfo,10.0.22000
SetIoRingCompletionEvent,10.0.22000
SetMeetNowIconBadge,10.0.22000
ShellMigrateWindow,10.0.22000
SslDeriveSessionTicketKey,10.0.22000
SslGetSessionTicketProtectionHeaderSize,10.0.22000
SslProtectSessionTicket,10.0.22000
SslUnprotectSessionTicket,10.0.22000
SubmitIoRing,10.0.22000
SymGetSourceFileFromTokenByTokenName,10.0.22000
SymGetSourceFileFromTokenByTokenNameW,10.0.22000
SymGetSourceFileTokenByTokenName,10.0.22000
SymGetSourceFileTokenByTokenNameW,10.0.22000
TryCreatePackageDependency,10.0.22000
WHvResetPartition,10.0.22000
WinHttpFreeQueryConnectionGroupResult,10.0.22000
WinHttpQueryConnectionGroup,10.0.22000
ZwCreateIoRing,10.0.22000
